"sample","ahrr","epismoke","joehanes","epitob","smoking_raw","smoking","cohort"
"GSM1225739",0.8001,0.62366,0.717277777777778,0.719389166666667,1,"former","GSE50660"
"GSM1225740",0.86682,0.6371875,0.74872,0.746324166666667,0,"never","GSE50660"
"GSM1225741",0.74579,0.6080575,0.722082222222222,0.7345825,1,"former","GSE50660"
"GSM1225742",0.71836,0.5337375,0.664368888888889,0.683943333333333,1,"former","GSE50660"
"GSM1225743",0.82674,0.62453,0.725228888888889,0.726494166666667,0,"never","GSE50660"
"GSM1225744",0.87957,0.6183525,0.71216,0.7147675,0,"never","GSE50660"
"GSM1225745",0.81644,0.6626075,0.753077777777778,0.7560375,0,"never","GSE50660"
"GSM1225746",0.81306,0.646825,0.740951111111111,0.731251666666667,0,"never","GSE50660"
"GSM1225747",0.84921,0.6097525,0.709155555555556,0.715090833333333,1,"former","GSE50660"
"GSM1225748",0.84124,0.6277925,0.727911111111111,0.732430833333333,0,"never","GSE50660"
"GSM1225749",0.82323,0.6485975,0.741658888888889,0.7440225,0,"never","GSE50660"
"GSM1225750",0.8245,0.615575,0.711717777777778,0.707695833333333,0,"never","GSE50660"
"GSM1225751",0.8526,0.65599,0.739962222222222,0.744361666666667,0,"never","GSE50660"
"GSM1225752",0.71947,0.613785,0.718413333333333,0.700333333333333,0,"never","GSE50660"
"GSM1225753",0.85277,0.6572925,0.746321111111111,0.74868,0,"never","GSE50660"
"GSM1225754",0.81965,0.6456875,0.733676666666667,0.738725,0,"never","GSE50660"
"GSM1225755",0.85477,0.6747575,0.754438888888889,0.7585375,0,"never","GSE50660"
"GSM1225756",0.78093,0.59309,0.687986666666667,0.698708333333333,0,"never","GSE50660"
"GSM1225757",0.8555,0.650935,0.74264,0.742035,0,"never","GSE50660"
"GSM1225758",0.67805,0.5735925,0.684953333333333,0.699845833333333,2,"current","GSE50660"
"GSM1225759",0.82544,0.6218675,0.719551111111111,0.720775833333333,0,"never","GSE50660"
"GSM1225760",0.82584,0.606055,0.719767777777778,0.722765,1,"former","GSE50660"
"GSM1225761",0.82831,0.613245,0.716297777777778,0.719993333333333,1,"former","GSE50660"
"GSM1225762",0.80821,0.6062475,0.687484444444444,0.697556666666667,1,"former","GSE50660"
"GSM1225763",0.83339,0.64813,0.748305555555556,0.750701666666667,0,"never","GSE50660"
"GSM1225764",0.83221,0.62406,0.692836666666667,0.6600975,0,"never","GSE50660"
"GSM1225792",0.58722,0.482655,0.629528888888889,0.646065,2,"current","GSE50660"
"GSM1225793",0.79757,0.610985,0.682656666666667,0.6873425,1,"former","GSE50660"
"GSM1225794",0.82065,0.622495,0.728912222222222,0.728455,1,"former","GSE50660"
"GSM1225795",0.83953,0.6329475,0.733408888888889,0.731066666666667,0,"never","GSE50660"
"GSM1225796",0.86013,0.650965,0.744167777777778,0.726855,0,"never","GSE50660"
"GSM1225797",0.77969,0.57503,0.672498888888889,0.6914525,1,"former","GSE50660"
"GSM1225798",0.86028,0.6862725,0.762144444444444,0.762255,0,"never","GSE50660"
"GSM1225799",0.82072,0.6366425,0.74674,0.744980833333333,0,"never","GSE50660"
"GSM1225801",0.85082,0.65896,0.752683333333333,0.751569166666667,0,"never","GSE50660"
"GSM1225802",0.8415,0.6513675,0.734762222222222,0.733008333333333,1,"former","GSE50660"
"GSM1225803",0.8788,0.64772,0.719916666666667,0.720621666666667,0,"never","GSE50660"
"GSM1225805",0.83945,0.6765325,0.754755555555556,0.740503333333333,0,"never","GSE50660"
"GSM1225807",0.70339,0.6061325,0.711772222222222,0.726308333333333,1,"former","GSE50660"
"GSM1225809",0.86262,0.67691,0.748977777777778,0.722620833333333,0,"never","GSE50660"
"GSM1225810",0.80054,0.64199,0.74153,0.72947,1,"former","GSE50660"
"GSM1225811",0.78615,0.6056175,0.710641111111111,0.7181,1,"former","GSE50660"
"GSM1225812",0.85386,0.6421775,0.732301111111111,0.713506666666667,0,"never","GSE50660"
"GSM1225813",0.88168,0.6523,0.734776666666667,0.734553333333333,0,"never","GSE50660"
"GSM1225814",0.84932,0.6582775,0.753413333333333,0.755178333333333,1,"former","GSE50660"
"GSM1225815",0.804,0.57979,0.68486,0.685965833333333,1,"former","GSE50660"
"GSM1225828",0.77484,0.61146,0.706513333333333,0.713449166666667,1,"former","GSE50660"
"GSM1225829",0.84326,0.6668225,0.747066666666667,0.743673333333333,0,"never","GSE50660"
"GSM1225830",0.83568,0.67979,0.771887777777778,0.776213333333333,0,"never","GSE50660"
"GSM1225831",0.85645,0.6356275,0.725556666666667,0.7369525,1,"former","GSE50660"
"GSM1225832",0.50876,0.4676325,0.622747777777778,0.636589166666667,2,"current","GSE50660"
"GSM1225833",0.83686,0.6088025,0.684977777777778,0.690758333333333,2,"current","GSE50660"
"GSM1225834",0.84731,0.63487,0.723736666666667,0.7212625,0,"never","GSE50660"
"GSM1225835",0.81656,0.6468825,0.754528888888889,0.757325833333333,1,"former","GSE50660"
"GSM1225836",0.84104,0.6200075,0.695425555555556,0.697516666666667,0,"never","GSE50660"
"GSM1225837",0.84668,0.64797,0.718442222222222,0.716445,0,"never","GSE50660"
"GSM1225838",0.84202,0.66425,0.753857777777778,0.7491,0,"never","GSE50660"
"GSM1225839",0.85473,0.6864375,0.76974,0.744155833333333,0,"never","GSE50660"
"GSM1225840",0.68991,0.562235,0.670074444444445,0.676010833333333,1,"former","GSE50660"
"GSM1225841",0.85355,0.64049,0.752496666666667,0.7482375,0,"never","GSE50660"
"GSM1225842",0.82442,0.66393,0.744966666666667,0.7518475,1,"former","GSE50660"
"GSM1225843",0.84404,0.6407925,0.742271111111111,0.7363475,1,"former","GSE50660"
"GSM1225844",0.70501,0.5488625,0.657805555555556,0.652713333333333,1,"former","GSE50660"
"GSM1225845",0.80944,0.6069425,0.714737777777778,0.716909166666667,1,"former","GSE50660"
"GSM1225846",0.84833,0.618705,0.718214444444444,0.721111666666667,0,"never","GSE50660"
"GSM1225847",0.79409,0.6136175,0.713911111111111,0.7122575,0,"never","GSE50660"
"GSM1225848",0.81235,0.62185,0.731888888888889,0.734999166666667,0,"never","GSE50660"
"GSM1225849",0.83861,0.643005,0.740283333333333,0.739515833333333,0,"never","GSE50660"
"GSM1225850",0.80653,0.61199,0.706397777777778,0.717151666666667,1,"former","GSE50660"
"GSM1225851",0.81084,0.644535,0.747723333333333,0.7471225,0,"never","GSE50660"
"GSM1225852",0.62397,0.5299275,0.654995555555555,0.661631666666667,1,"former","GSE50660"
"GSM1225853",0.75081,0.5905075,0.724008888888889,0.722014166666667,1,"former","GSE50660"
"GSM1225854",0.82851,0.652175,0.746964444444445,0.748735833333333,2,"current","GSE50660"
"GSM1225855",0.76086,0.5796975,0.697741111111111,0.704105,1,"former","GSE50660"
"GSM1225856",0.82313,0.6441675,0.728526666666667,0.728765,1,"former","GSE50660"
"GSM1225857",0.72534,0.61463,0.725421111111111,0.7376525,1,"former","GSE50660"
"GSM1225858",0.82579,0.61379,0.70947,0.710393333333333,1,"former","GSE50660"
"GSM1225859",0.85485,0.6204375,0.71402,0.719151666666667,1,"former","GSE50660"
"GSM1225860",0.84076,0.6135725,0.706962222222222,0.709390833333333,1,"former","GSE50660"
"GSM1225861",0.83618,0.6363225,0.731348888888889,0.732408333333333,1,"former","GSE50660"
"GSM1225862",0.81478,0.6417225,0.745888888888889,0.744359166666667,0,"never","GSE50660"
"GSM1225863",0.74171,0.5638075,0.683045555555556,0.69786,1,"former","GSE50660"
"GSM1225864",0.88569,0.6542325,0.735727777777778,0.715166666666667,0,"never","GSE50660"
"GSM1225865",0.78831,0.5941825,0.669097777777778,0.673610833333333,1,"former","GSE50660"
"GSM1225866",0.84178,0.61284,0.697247777777778,0.701694166666667,0,"never","GSE50660"
"GSM1225867",0.8482,0.6605975,0.756886666666667,0.758408333333333,0,"never","GSE50660"
"GSM1225868",0.88089,0.66499,0.725957777777778,0.701555833333333,0,"never","GSE50660"
"GSM1225869",0.84766,0.6399475,0.726377777777778,0.727091666666667,1,"former","GSE50660"
"GSM1225870",0.87024,0.6457375,0.715668888888889,0.7177125,1,"former","GSE50660"
"GSM1225871",0.8515,0.6545125,0.750512222222222,0.74992,0,"never","GSE50660"
"GSM1225872",0.86628,0.6313275,0.710463333333333,0.708079166666667,1,"former","GSE50660"
"GSM1225873",0.74102,0.5712825,0.682603333333333,0.702695,1,"former","GSE50660"
"GSM1225874",0.82932,0.6275125,0.731688888888889,0.737165,1,"former","GSE50660"
"GSM1225875",0.57317,0.4948725,0.597702222222222,0.616679166666667,2,"current","GSE50660"
"GSM1225876",0.84359,0.650685,0.73274,0.731453333333333,1,"former","GSE50660"
"GSM1225877",0.67466,0.5841675,0.706431111111111,0.7100775,0,"never","GSE50660"
"GSM1225878",0.85054,0.672845,0.74756,0.701038333333333,0,"never","GSE50660"
"GSM1225879",0.48629,0.4629125,0.595224444444444,0.622863333333333,2,"current","GSE50660"
